file,electric,lightning,nuclear,temporal
campione_3_neutron_burst_thunderstorm\arxiv_1906.05048.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_1906.10452.json,0,0,1,0
campione_3_neutron_burst_thunderstorm\arxiv_1908.02730.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_1911.08309.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_1912.07881.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2004.09758.json,0,0,0,1
campione_3_neutron_burst_thunderstorm\arxiv_2007.06079.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2009.07307.json,0,0,2,0
campione_3_neutron_burst_thunderstorm\arxiv_2009.08108.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2012.01376.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2012.07193.json,0,0,1,0
campione_3_neutron_burst_thunderstorm\arxiv_2105.13519.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2108.02020.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2108.13900.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2201.10134.json,0,0,2,0
campione_3_neutron_burst_thunderstorm\arxiv_2203.00535.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2206.12299.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2210.07687.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2211.00025.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2211.04626.json,0,0,1,0
campione_3_neutron_burst_thunderstorm\arxiv_2211.09688.json,0,0,1,0
campione_3_neutron_burst_thunderstorm\arxiv_2306.04036.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2308.12812.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2308.15240.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2310.15490.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2403.15513.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2406.16159.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2407.06311.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2412.01906.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2505.16269.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2506.07941.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2507.16250.json,1,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2508.21533.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2511.14561.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2512.07859.json,0,0,1,0
